CompanyNumber,1.1,1.2,1.3,2.1,2.2,2.3,2.4,2.5,3.1,3.2,3.3,3.4,3.5,3.6,4.1,4.2,4.3,5.1,5.2,5.3,5.4
00004606,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
00015129,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
04321383,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
04321532,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False
04322134,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False
04322453,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False
04322680,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
04322757,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
04322772,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
04323040,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
04323066,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
04323331,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
04323752,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
04324297,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False
04324395,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False
04324458,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
04324567,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
04324694,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
04325643,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
04327335,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
04327639,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
04327790,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False
04327830,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
04328146,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False
04328341,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
04328404,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False
04328962,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
04329149,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False
04329171,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
04329751,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,True,True,True
04329827,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
04329936,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
04330089,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
04330143,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
04330278,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False
04330732,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False
04330786,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
04330991,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
04331031,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
04331087,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
04331204,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
04331329,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
04331338,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
04331407,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
04331486,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
04331595,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True
04331795,True,False,False,False,False,False,False,False,True,False,True,True,False,True,True,False,False,False,False,False,False
04332061,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
04332073,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
04332932,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,True,False
04333039,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
04333466,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False
