CompanyNumber,Type,Subtype,Result
08470855,1,1,False
08470855,1,2,False
08470855,1,3,False
08470855,2,1,False
08470855,2,2,False
08470855,2,3,True
08470855,2,4,False
08470855,2,5,False
08470855,3,1,False
08470855,3,2,False
08470855,3,3,False
08470855,3,4,False
08470855,3,5,False
08470855,3,6,False
08470855,4,1,False
08470855,4,2,False
08470855,4,3,False
08470855,5,1,False
08470855,5,2,False
08470855,5,3,False
08470855,5,4,False
08470861,1,1,False
08470861,1,2,False
08470861,1,3,False
08470861,2,1,False
08470861,2,2,False
08470861,2,3,True
08470861,2,4,False
08470861,2,5,False
08470861,3,1,True
08470861,3,2,False
08470861,3,3,False
08470861,3,4,False
08470861,3,5,True
08470861,3,6,True
08470861,4,1,False
08470861,4,2,False
08470861,4,3,False
08470861,5,1,False
08470861,5,2,False
08470861,5,3,False
08470861,5,4,False
08470871,1,1,False
08470871,1,2,False
08470871,1,3,False
08470871,2,1,False
08470871,2,2,False
08470871,2,3,True
08470871,2,4,False
08470871,2,5,False
08470871,3,1,False
08470871,3,2,False
08470871,3,3,False
08470871,3,4,True
08470871,3,5,False
08470871,3,6,False
08470871,4,1,False
08470871,4,2,False
08470871,4,3,False
08470871,5,1,False
08470871,5,2,False
08470871,5,3,False
08470871,5,4,False
08470896,1,1,True
08470896,1,2,False
08470896,1,3,False
08470896,2,1,False
08470896,2,2,False
08470896,2,3,True
08470896,2,4,False
08470896,2,5,False
08470896,3,1,False
08470896,3,2,False
08470896,3,3,True
08470896,3,4,True
08470896,3,5,False
08470896,3,6,False
08470896,4,1,True
08470896,4,2,False
08470896,4,3,False
08470896,5,1,False
08470896,5,2,False
08470896,5,3,False
08470896,5,4,False
08470922,1,1,False
08470922,1,2,False
08470922,1,3,False
08470922,2,1,False
08470922,2,2,False
08470922,2,3,True
08470922,2,4,False
08470922,2,5,False
08470922,3,1,False
08470922,3,2,False
08470922,3,3,False
08470922,3,4,False
08470922,3,5,False
08470922,3,6,False
08470922,4,1,False
08470922,4,2,False
08470922,4,3,False
08470922,5,1,False
08470922,5,2,False
08470922,5,3,False
08470922,5,4,False
08470926,1,1,False
08470926,1,2,False
08470926,1,3,False
08470926,2,1,False
08470926,2,2,False
08470926,2,3,True
08470926,2,4,False
08470926,2,5,False
08470926,3,1,False
08470926,3,2,False
08470926,3,3,False
08470926,3,4,False
08470926,3,5,False
08470926,3,6,False
08470926,4,1,False
08470926,4,2,False
08470926,4,3,False
08470926,5,1,False
08470926,5,2,False
08470926,5,3,False
08470926,5,4,False
08470934,1,1,True
08470934,1,2,False
08470934,1,3,False
08470934,2,1,False
08470934,2,2,False
08470934,2,3,True
08470934,2,4,False
08470934,2,5,False
08470934,3,1,False
08470934,3,2,False
08470934,3,3,False
08470934,3,4,False
08470934,3,5,True
08470934,3,6,False
08470934,4,1,False
08470934,4,2,False
08470934,4,3,False
08470934,5,1,False
08470934,5,2,False
08470934,5,3,False
08470934,5,4,False
08470962,1,1,False
08470962,1,2,False
08470962,1,3,False
08470962,2,1,False
08470962,2,2,False
08470962,2,3,True
08470962,2,4,False
08470962,2,5,False
08470962,3,1,False
08470962,3,2,False
08470962,3,3,False
08470962,3,4,False
08470962,3,5,False
08470962,3,6,False
08470962,4,1,False
08470962,4,2,False
08470962,4,3,False
08470962,5,1,False
08470962,5,2,False
08470962,5,3,False
08470962,5,4,False
08470973,1,1,False
08470973,1,2,False
08470973,1,3,False
08470973,2,1,False
08470973,2,2,False
08470973,2,3,True
08470973,2,4,False
08470973,2,5,False
08470973,3,1,False
08470973,3,2,False
08470973,3,3,False
08470973,3,4,False
08470973,3,5,False
08470973,3,6,False
08470973,4,1,False
08470973,4,2,False
08470973,4,3,False
08470973,5,1,False
08470973,5,2,False
08470973,5,3,False
08470973,5,4,False
08470977,1,1,False
08470977,1,2,False
08470977,1,3,False
08470977,2,1,False
08470977,2,2,False
08470977,2,3,True
08470977,2,4,False
08470977,2,5,False
08470977,3,1,False
08470977,3,2,False
08470977,3,3,False
08470977,3,4,False
08470977,3,5,False
08470977,3,6,False
08470977,4,1,False
08470977,4,2,False
08470977,4,3,False
08470977,5,1,False
08470977,5,2,False
08470977,5,3,False
08470977,5,4,False
